,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
OSULeaf,0.18280800485183352,0.3009134780411309,0.22365229510420317,0.1454672257218648,0.08413040183027834,0.1368668855057171,0.0049139329158933,0.0290352825637907,0.001581356044854,0.157444684549135,0.0,0.1472872854811999,0.0398615120849583,0.0,0.1370591478240245,0.0,0.1366483313896856,0.1645549368902107,200,242,427,6,IMAGE
Ham,0.026744557138774033,0.017163853980287,0.04435091169033738,0.04965737591466034,-0.0021818945571038034,0.018837048068401818,0.0,0.0054026503177947,0.0007259314485275,0.0079908611057943,0.0,-0.0024875256396999,0.0074775817863102,0.0,0.0378257224259208,0.0,0.0352033803367027,0.1230134692941176,109,105,431,2,SPECTRO
CricketX,0.13798310376760792,0.11536992795408,0.17577961417848093,0.11090842108615058,0.09909417699582472,0.053313748283632285,0.0260987281476177,0.0665051176033623,0.0001504526651651,0.1191258626138742,0.0,0.0862041959840412,0.0317257187020906,0.0,0.1081847367667198,0.0,0.1267247683563639,0.111482569926755,390,390,300,12,MOTION
SonyAIBORobotSurface1,0.01611142467512111,0.4220227010874968,0.30829419690594195,0.32467392891963226,0.4527196153559065,0.20330972233667163,0.3211385083259236,0.0730236332118768,-0.0014000997432801,0.0012369507679609,0.0,0.5359651434924626,0.0,0.0,0.0018270466026012,0.5351138422072608,0.0012369507679609,0.0012369507679609,20,601,70,2,SENSOR
ToeSegmentation1,0.3061037638087235,0.2134300783393476,0.008985696463831941,-0.0034583887787805407,-0.002664757181127933,0.00465534305972311,0.0558723149224772,0.0064876060047971,0.0006996449301979,0.0089434155743191,0.0,-0.0028570342191635,0.0284297017103323,0.0,-0.0010126048283314,0.0,0.0030199668764218,0.0072512372369165,40,228,277,2,MOTION
ScreenType,0.03542293473822066,0.0196533465369494,0.010570633681438108,0.01682845096291529,0.0020945869656671012,0.022523597327802004,0.0004516855693312,0.0006842146382205,7.139707868714166e-06,0.012712134609566,0.0,0.0192066434566108,-5.454309500090592e-05,0.0,0.0183635337501418,0.0,0.0003936218138295,0.0205473547724973,375,375,720,3,DEVICE
MoteStrain,0.4579461717994689,0.412159223411303,0.6068954457189382,0.3955374279781834,0.15731987031658679,0.32474404212438035,0.3019693213879011,0.0336972602706819,-0.000224942394437,0.3302494050268089,0.0,0.0960159415766063,0.0047385771497396,0.0059673949351441,0.3889755673984653,0.0,0.6078239071002016,0.2196059387899746,20,1252,84,2,SENSOR
ECGFiveDays,0.03762943326007234,0.1657144006001763,0.7839778143801496,0.00019872896311454283,0.0022209449767530203,0.16040898968884595,0.2059263880060649,0.0374431834624033,0.0,0.0117518829815762,0.0,0.0828968815717583,1.0248999203777975e-05,0.0,0.0532592403487059,0.4151836284968865,0.4299092149767273,0.0049839193764291,23,861,136,2,ECG
Wine,0.04735921520273765,-0.0040929210413468,-0.005187919471714703,-0.005187919471714703,0.01502671224444677,-0.0027137688059417253,0.0,0.0342112852280184,0.0049729779480497,0.009999044400622,0.0,-0.0085825583670611,0.0336570591895417,0.0,0.0049729779480497,0.0531136113383023,-0.0070350799006812,-0.0070350799006812,57,54,234,2,SPECTRO
SemgHandMovementCh2,0.048162410747450944,0.1162081403522996,0.014896018565049029,0.12259413241811837,0.047457046665436334,0.08493898569108249,0.0,0.0418107679968148,2.5964609950654103e-05,0.1059168797616292,0.0,0.1518310088268569,0.0831423013903011,0.0,0.1125920860599038,0.0,0.068765396788289,0.0996590485194794,450,450,1500,6,SPECTRO
