,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
CricketX,0.2574266109654755,0.2417621480434575,0.33482375761892325,0.2314939508478017,0.22421197549850072,0.13076524824688238,0.0940720300275726,0.274575046333171,0.003283715701316,0.2438416122144445,0.0,0.198382928273507,0.0664344662453646,0.0,0.2219140055097152,0.0,0.2750730830527779,0.2405125062770153,390,390,300,12,MOTION
SonyAIBORobotSurface1,0.009028709994809241,0.3339165192739998,0.31554302446677884,0.3588653394531536,0.394084667488696,0.24486431222784943,0.3129416019810826,0.2890698230917257,0.0021296627449729,-0.0011157760964736,0.0,0.5469471670702236,0.0,0.0,0.0113595788276061,0.5303012289156938,-0.0011157760964736,-0.0011157760964736,20,601,70,2,SENSOR
ToeSegmentation1,0.24223247434958886,0.1651540903501268,0.005832295011985973,-0.002506478691472523,-0.001336894406924783,0.00791310726459108,0.1281232647796126,0.0550599526323147,0.0004928069684415,0.0094857268395783,0.0,-0.0020984194843993,0.1033636047849543,0.0,-0.0007612006773674,0.0,0.0025723516242259,0.0067036986326306,40,228,277,2,MOTION
ScreenType,0.039361171925318156,0.017601951862587,0.009353052355804702,0.016697585436571637,0.006459851657014302,0.02017970211418249,0.0017274592872885,0.0091088901604097,6.4230185148553925e-06,0.0102434699944006,0.0,0.0158376700399246,-0.0004636048424178,0.0,0.0157050027715751,0.0,0.0075268656585697,0.0155825841042311,375,375,720,3,DEVICE
MoteStrain,0.39804808683635706,0.3330060466211296,0.4997897162469093,0.30632007636848657,0.13546217712566816,0.35537641237156065,0.2922891393510028,0.1838717121657771,-0.0001612028124266,0.3920596209007793,0.0,0.067599318520725,0.1286500409161355,0.0132338847324925,0.3133572060212899,0.0,0.5134794178611617,0.3217488897080068,20,1252,84,2,SENSOR
ECGFiveDays,0.027426223886476742,0.1233471118153736,0.737371825889439,0.0001430881227222236,0.004930390037569543,0.17777534683215104,0.1990961201569376,0.2343363877949114,-3.9437185863625375e-15,0.009334520689065,0.0,0.0672367525005453,0.0022223111961128,0.0,0.0402254864569064,0.4585417862957813,0.4686481941434716,0.0085422710726806,23,861,136,2,ECG
Wine,0.03454667471142038,-0.0029928868377318,-0.006237094168821271,-0.006237094168819455,0.01171151115128712,-0.0023115305336758687,0.0,0.1492260486304085,0.0348517800659938,0.0101434575794585,0.0,-0.0065969443001229,0.2312265665470391,0.0,0.0348517800659938,0.0580898176215735,-0.0057557460643735,-0.0057557460643735,57,54,234,2,SPECTRO
SemgHandMovementCh2,0.09817072134907565,0.1810407611707231,0.11092537832626607,0.21668170014228516,0.11883121314943437,0.15042451664040565,0.0,0.1024015952361766,3.588903736923108e-05,0.2412465858787092,0.0,0.2666362394110855,0.1791795184864507,0.0,0.233278848151619,0.0,0.2406668991170555,0.2458038152414157,450,450,1500,6,SPECTRO
FreezerSmallTrain,0.7681220827708158,0.2614905797500507,0.2113223982465356,0.2213897628848831,0.09264799744823796,0.15339639586708384,0.0010139691296872,0.1869845496103455,0.0113027459298286,0.1966255696507584,0.0,0.2088177819672663,0.1576358653431856,0.0,0.2236644236398363,0.3166128902645719,0.0068913892705557,0.2095465305155487,28,2850,301,2,SENSOR
UWaveGestureLibraryZ,0.2411363936713033,0.3818566079849795,0.46095263717926,0.41478769831986345,0.14304224370725377,0.43450196614018344,0.0637923071866237,0.3200640549501839,1.0090252529854526e-06,0.45994221141941,0.0,0.35043433165682,0.1309876441354169,0.0,0.4044335006161546,0.0,0.5036462775985007,0.4648346135331517,896,3582,315,8,MOTION
