,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
ItalyPowerDemand,0.00047217577016952193,0.2519777438219059,0.29361060734854894,0.0013162067254957402,0.042263617001750894,0.1325883509161394,0.043784596844099,0.3904567210964283,0.001802243564458,0.0002139198926218,0.0,0.0050386899314341,0.0070537593568639,0.0,0.0024750937936265,0.0,6.311909353575792e-05,0.0002139198926218,67,1029,24,2,SENSOR
Yoga,0.0007164597419507417,0.0001052561320488,7.042688707554638e-05,0.0007872100040730147,0.21671601586031697,0.005863919454979408,0.0270522930306524,0.1503441264388257,0.0021551151950452,0.0030112052846838,0.0,0.0003817804936971,0.1640616731461831,0.0,0.0003605107116288,0.0010192288947637,0.0006416208931305,0.0002596676166364,300,3000,426,2,IMAGE
Trace,0.9797540816025914,0.9321758387074516,0.6195794662665677,0.539175070342506,0.7802049104519169,0.47536598733609975,0.0,0.474900125992344,0.6527446934786623,0.5027129616956916,0.0,0.507556302487282,0.6666666666666659,0.0,0.5344672124237315,0.7141350788967439,0.5024943789548189,0.5056579358650382,100,100,275,4,SENSOR
PigAirwayPressure,0.6549004651906052,0.5868868624641576,0.46327890582059517,0.5367718894743355,0.56421205124557,0.09953326940993794,0.0,0.7033983982491919,0.4842847286854978,0.582711684899867,0.0,0.5821404759994526,0.0473190208777895,0.0,0.5806162254417934,0.0792479514344688,0.5893801494882541,0.5871618174986807,104,208,2000,52,HEMODYNAMICS
Mallat,0.9166204011584617,0.8682361897018491,0.8659652652384893,0.8992567241558703,0.8214730228489125,0.8320234825002181,0.0,0.4479103952960395,0.6364970892829434,0.9201994242424794,0.0,0.923876121243251,0.2913569744007672,0.0,0.8823614583069386,0.4460546978197505,0.8723168644601775,0.8973710368490245,55,2345,1024,8,SIMULATED
GunPointOldVersusYoung,0.005059316299548653,0.0050234529272927,0.11425897172381676,0.2281974485281376,0.5171548657265379,0.22763319655280798,0.0,0.4934236255784435,0.3439204068399735,0.3439204068399735,0.0,0.3439204068399735,0.3022789352207869,0.0,0.3439204068399735,0.5507412305510485,0.176077384378483,0.3439204068399735,135,316,150,2,MOTION
MiddlePhalanxTW,0.3996295047696324,0.352987107106412,0.4299907815121018,0.42068296646808434,0.4012234596665187,0.16899794440919857,0.2541964437274309,0.362957311024421,0.0213382018567849,0.4406480294269767,0.0,0.4265494833097623,0.0371399427497113,0.551371206606232,0.4315295478239499,0.5325410165061404,0.4096778087629202,0.4560707504151956,399,154,80,6,IMAGE
Meat,0.6937437507067111,0.6764425881148225,0.5521748431388933,0.6657049571399709,0.5633889389459662,0.023376338904944904,0.0,0.5263339931846053,0.0311220158727359,0.649682027811217,0.0,0.4996692279609329,0.0090647345857738,0.0,0.4884048801688534,0.4518961594797493,0.6414172481033158,0.649682027811217,60,60,448,3,SPECTRO
Herring,0.03797018037190838,0.0140676644170177,0.009622180860492779,0.007820056865856835,0.016756961212833016,0.005491450310006874,0.0,0.2134127897856624,0.0111156528604756,0.0017770155049343,0.0,0.0039821044218888,0.0317185149563307,0.0,0.0073332866008819,0.0,0.0003599923770275,0.0006163243960841,64,64,512,2,IMAGE
MiddlePhalanxOutlineCorrect,0.005402913367949915,0.0042285807772817,0.0008948491919384738,0.0007459443873183629,0.006931481740756954,0.0023425329615737868,0.0032286808815589,0.0964067484549149,0.0015885305145193,0.008365802794078,0.0,0.0069261443336803,0.0005893377021745,0.0,2.71575211738269e-05,0.0,0.006048019577984,0.0129555197224375,600,291,80,2,IMAGE
