,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
PhalangesOutlinesCorrect,0.501016693414304,0.5039858652400506,0.5053466105830022,0.5052834017670715,0.4999830933409003,0.5037792660546475,0.4953675659668858,0.4676985109396279,0.538581024384953,0.5006999130312394,0.5383717442999496,0.5001995099051216,0.5398440679290872,0.5383717442999496,0.5043077997469948,0.5383717442999496,0.5010083108831591,0.500637610434892,1800,858,80,2,IMAGE
DistalPhalanxOutlineAgeGroup,0.638871378223476,0.6222910387541296,0.7253126056100034,0.7246587719237746,0.6759605768633915,0.5621452366008924,0.6716899669634667,0.5973612155237221,0.4684083839686601,0.7108648122986944,0.4646978088295135,0.7199964135704975,0.6046099413067018,0.4646978088295135,0.720603347794001,0.7035816016166521,0.6155209633701402,0.7254036457435289,400,139,80,3,IMAGE
InsectEPGSmallTrain,0.7440544758121721,0.735571002979146,0.4942147822386154,0.606077457795432,0.8532557809618385,0.6208918522721899,0.8787061994609164,0.936842105263158,1.0,1.0,0.3782096751312243,1.0,1.0,0.0,1.0,0.903731025677401,1.0,1.0,17,249,601,3,EPG
EOGVerticalSignal,0.8590472478851929,0.8697599779922515,0.8534673666353362,0.8499232021274157,0.8238325577130281,0.7738054301062943,0.4673691825293118,0.9159044191253448,0.120935634977037,0.7979413585199789,0.082074383133506,0.818241214094129,0.1098820904304501,0.082074383133506,0.8245608002261907,0.1779991288599527,0.848742578116045,0.7716543255159977,362,362,1250,12,EOG
CricketZ,0.8648082683255982,0.8672742832691485,0.870339356834864,0.8597195615680853,0.8468595503768803,0.7425957012606563,0.4641837551978758,0.9177907244659492,0.1056120601691846,0.8490931832395247,0.0821566110397946,0.858605707514565,0.5095783548928606,0.0821566110397946,0.8561732661861031,0.0821566110397946,0.8581876830914058,0.8448701491063494,390,390,300,12,MOTION
RefrigerationDevices,0.5434474410324878,0.556484557187361,0.5557376056964841,0.5546296395193592,0.530909479305741,0.3841269841269841,0.4190155763239875,0.6675531820204718,0.3342269692923899,0.3595264797507788,0.3324432576769025,0.556218958611482,0.4329719626168224,0.3324432576769025,0.5535131286159324,0.3324432576769025,0.5573226524254562,0.3645109034267912,375,375,720,3,DEVICE
MixedShapesRegularTrain,0.8061117074140329,0.7870092953102529,0.8019119108585592,0.8199451869000433,0.6939082628877432,0.8281661541579463,0.6195688690900729,0.7942383107088989,0.2339172425082137,0.8241657020589989,0.2081723900054953,0.814057782922352,0.434019666304208,0.2081723900054953,0.8121959147403743,0.433640370877033,0.8304098121061185,0.8619869748734318,2925,2925,1024,5,IMAGE
GunPoint,0.4975678391959799,0.5028341708542714,0.4974874371859296,0.4974874371859296,0.5224422110552764,0.5220268006700167,0.5522110552763819,0.536180904522613,0.4974874371859296,0.4974874371859296,0.4974874371859296,0.4974874371859296,0.5047738693467336,0.4974874371859296,0.4974874371859296,0.5408542713567839,0.6132663316582915,0.4974874371859296,50,150,150,2,MOTION
ECG200,0.6454170854271357,0.6049346733668342,0.6142412060301508,0.6100904522613065,0.5744221105527638,0.6005862646566165,0.5806365159128978,0.5522110552763819,0.5555778894472362,0.6231155778894473,0.5522110552763819,0.5947738693467337,0.5555778894472362,0.5522110552763819,0.6333668341708543,0.678391959798995,0.618140703517588,0.6494974874371859,100,100,96,2,ECG
ToeSegmentation2,0.7701058780576854,0.5755677254472434,0.6128660094925155,0.49901423877327494,0.5043154435925521,0.4357551417792382,0.6795667518559085,0.3912376779846659,0.6257758305951077,0.4995983935742972,0.6197152245345017,0.4981380065717415,0.6257758305951077,0.6197152245345017,0.5042716319824754,0.6197152245345017,0.497626871120847,0.4995983935742972,36,130,343,2,MOTION
WordSynonyms,0.8944575367916687,0.9016393683078278,0.8981899965775192,0.8949533075832395,0.8827277172053,0.7696857836666178,0.1198927622679639,0.9134772405026158,0.1551728352808878,0.8988192441206669,0.0889942795677895,0.8969588813377011,0.5175475480369628,0.0889942795677895,0.8936708551312765,0.0889942795677895,0.8921942991248227,0.8967046399061263,267,638,270,25,IMAGE
Fungi,0.9941079880227953,0.9069641649763356,0.8902926687916546,0.9678837052062204,0.9373708103931229,0.8009111690653272,0.0580508065295083,0.9753694581280788,0.9588525065198492,0.9675939341253744,0.0580508065295083,0.9546025306674394,0.394378441031585,0.0580508065295083,0.962378054670144,0.7604559065005313,0.9660484883608615,0.9694774461508742,18,186,201,18,OTHER
BirdChicken,0.6443589743589744,0.6128205128205128,0.6174358974358974,0.5171794871794873,0.7441025641025641,0.5329059829059829,0.7384615384615385,0.514102564102564,0.4884615384615384,0.4923076923076923,0.4871794871794871,0.4923076923076923,0.5384615384615384,0.4871794871794871,0.4987179487179487,0.5076923076923077,0.5333333333333333,0.5076923076923077,20,20,512,2,IMAGE
SemgHandGenderCh2,0.49986997898900015,0.5092670868866642,0.5379864046471388,0.5502439747868001,0.5199589667531825,0.5154797511638446,0.5194660734149055,0.4853516252626375,0.519913484118156,0.5049042145593869,0.5194660734149055,0.5056235323198616,0.5030132245705105,0.5194660734149055,0.5049042145593869,0.5194660734149055,0.5350389321468298,0.5217525645779261,300,600,1500,2,SPECTRO
